GEOID,pop_total,pop_white,housing_total,housing_owned,housing_rental,med_income,state,county
36003,46304,44175,18028,14266,3762,27038,36,003
36009,76750,70260,31999,23090,8909,31375,36,009
36015,84115,73504,34328,23069,11259,32619,36,015
36021,60016,52951,25323,18530,6793,36931,36,021
36027,293524,225543,110095,75080,35015,40960,36,027
36031,37281,34659,16182,12363,3819,32764,36,031
36037,57554,52650,24174,17501,6673,35200,36,037
36043,61738,58518,25093,18647,6446,34511,36,043
36049,26456,25545,10398,8407,1991,33263,36,049
36055,743084,554917,305210,193319,111891,36399,36,055
36061,1629153,898723,758720,182507,576213,63418,36,061
36067,461591,363669,187349,121902,65447,37867,36,067
36073,40624,35913,16634,12491,4143,31955,36,073
36079,98714,83948,34915,28797,6118,45256,36,079
36085,475596,340436,167160,114975,52185,48342,36,085
36001,306165,227078,128122,71829,56293,39233,36,001
36005,1427056,306569,510135,102325,407810,30174,36,005
36007,192042,162553,79528,51780,27748,30618,36,007
36011,76958,70048,30870,21886,8984,35120,36,011
36013,127584,116046,53625,36795,16830,30747,36,013
36017,47527,45462,20834,15574,5260,32405,36,017
36019,80320,72635,31557,21421,10136,33957,36,019
36023,47618,44715,17980,11906,6074,30234,36,023
36025,44676,41874,18930,14296,4634,29389,36,025
36029,918873,708351,392910,254697,138213,37551,36,029
36033,50389,41452,18880,13607,5273,33028,36,033
36035,53452,49696,22406,15612,6794,32854,36,035
36039,47335,41871,17681,13550,4131,35276,36,039
36041,4454,4229,1416,1208,208,31603,36,041
36045,111454,95294,43046,23980,19066,31134,36,045
36047,2576771,1103205,972314,295080,677234,41559,36,047
36051,63218,58127,24496,18683,5813,31834,36,051
36053,70990,66361,25959,20365,5594,32436,36,053
36057,49294,42625,19621,13241,6380,32299,36,057
36059,1355683,898922,449967,365052,84915,52814,36,059
36063,210145,181799,90022,64549,25473,36040,36,063
36065,229074,193460,90675,62318,28357,35294,36,065
36069,109774,100964,45711,33237,12474,35906,36,069
36071,382077,277121,130428,88453,41975,41189,36,071
36075,117630,111602,46597,33912,12685,31818,36,075
36077,59593,55323,23768,17157,6611,28173,36,077
36081,2270976,814353,783362,353375,429987,39755,36,081
36083,159013,135101,65455,41200,24255,41647,36,083
36087,325213,227473,101167,68703,32464,42697,36,087
36089,108352,100308,41925,30387,11538,30882,36,089
36091,229313,211258,95898,69128,26770,46710,36,091
36093,155086,116991,57479,36775,20704,37356,36,093
36095,31189,29271,12780,9630,3150,33563,36,095
36097,17845,17204,7402,5537,1865,32114,36,097
36099,34295,31004,13784,10011,3773,31998,36,099
36101,95843,90104,40099,29258,10841,32942,36,101
36103,1481364,1161861,495667,403707,91960,48177,36,103
36105,75329,58986,28762,19980,8782,35798,36,105
36107,48431,46386,20643,16071,4572,35193,36,107
36109,102237,81368,40817,22025,18792,29774,36,109
36111,178371,146063,70088,48108,21980,36244,36,111
36113,64187,61295,29034,20516,8518,38118,36,113
36115,61304,56773,24054,17494,6560,34706,36,115
36117,90103,82599,37281,29114,8167,34461,36,117
36119,968738,598387,353485,216939,136546,50562,36,119
36121,40027,36479,16055,12296,3759,35082,36,121
36123,24981,23988,8901,6805,2096,29834,36,123
